date,version,prev_date,prev_version,change,name,diff
2025-10-24,2.0.27,2025-10-21,2.0.25,modified,Bash,versions/2025-10-24_2.0.27/diff-from-2025-10-21_2.0.25.md
2025-10-27,2.0.28,2025-10-24,2.0.27,modified,Task,versions/2025-10-27_2.0.28/diff-from-2025-10-24_2.0.27.md
2025-10-30,2.0.30,2025-10-27,2.0.28,modified,ExitPlanMode,versions/2025-10-30_2.0.30/diff-from-2025-10-27_2.0.28.md
2025-10-30,2.0.30,2025-10-27,2.0.28,modified,Task,versions/2025-10-30_2.0.30/diff-from-2025-10-27_2.0.28.md
2025-11-03,2.0.32,2025-10-31,2.0.31,modified,Grep,versions/2025-11-03_2.0.32/diff-from-2025-10-31_2.0.31.md
2025-11-05,2.0.34,2025-11-04,2.0.33,modified,Task,versions/2025-11-05_2.0.34/diff-from-2025-11-04_2.0.33.md
2025-11-06,2.0.35,2025-11-05,2.0.34,modified,Skill,versions/2025-11-06_2.0.35/diff-from-2025-11-05_2.0.34.md
2025-11-07,2.0.36,2025-11-06,2.0.35,modified,Skill,versions/2025-11-07_2.0.36/diff-from-2025-11-06_2.0.35.md
2025-11-07,2.0.36,2025-11-06,2.0.35,modified,SlashCommand,versions/2025-11-07_2.0.36/diff-from-2025-11-06_2.0.35.md
2025-11-14,2.0.41,2025-11-10,2.0.37,modified,Skill,versions/2025-11-14_2.0.41/diff-from-2025-11-10_2.0.37.md
2025-11-18,2.0.45,2025-11-17,2.0.43,modified,BashOutput,versions/2025-11-18_2.0.45/diff-from-2025-11-17_2.0.43.md
2025-11-18,2.0.45,2025-11-17,2.0.43,modified,KillShell,versions/2025-11-18_2.0.45/diff-from-2025-11-17_2.0.43.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Bash,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,BashOutput,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Edit,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,ExitPlanMode,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Glob,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Grep,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,KillShell,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,NotebookEdit,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Read,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Skill,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,SlashCommand,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Task,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,TodoWrite,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,WebFetch,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,WebSearch,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2025-11-19,2.0.46,2025-11-18,2.0.45,removed,Write,versions/2025-11-19_2.0.46/diff-from-2025-11-18_2.0.45.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,AskUserQuestion,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Bash,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Edit,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,EnterPlanMode,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,ExitPlanMode,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Glob,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Grep,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,KillShell,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,NotebookEdit,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Read,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Skill,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Task,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,TaskOutput,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,TodoWrite,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,WebFetch,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,WebSearch,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
2026-01-07,2.1.0,2025-12-22,2.0.76,added,Write,versions/2026-01-07_2.1.0/diff-from-2025-12-22_2.0.76.md
